,tfidf
을지로,0.44526687671866455
맛집,0.2624278210612419
술집,0.2624278210612419
지도,0.23299519258955922
보기,0.16542081563496516
메뉴,0.16012189321849465
감성,0.14065753463918224
카페,0.14044767632565866
분위기,0.14034274716889686
복사,0.13509628933080725
추가,0.12864314618995704
주문,0.1186748762975868
안주,0.11694354521101724
와인,0.11437518105455709
기능,0.11400552882168706
맥주,0.10986082712959627
거리,0.10891646471874014
이웃,0.10660802326998071
공유,0.10456190471312578
느낌,0.10330275483198427
신고,0.10325029025360337
본문,0.10256825073465173
전체,0.09679714711275317
사진,0.09527567433970718
추천,0.09391159530180387
위치,0.08856020830695249
서울,0.08814049167990531
서울특별시,0.08494015239867066
방문,0.08084791528496077
테이블,0.0805855923930563
중구,0.079221513355153
동시,0.07722785937667895
호프,0.07667798611749693
정말,0.07565392202525206
도지,0.07512927624144311
친구,0.07497188250630042
부동산,0.07470955961439593
자리,0.07455216587925324
데이터,0.07428984298734877
컨트롤러,0.0738701263603016
범례,0.0738701263603016
구시,0.0738701263603016
도국,0.0738701263603016
커피,0.0701924472035941
포차,0.06708479314068234
을지,0.06357179289565164
예약,0.05749160016386774
골목,0.05660928007298681
신당,0.056005330829431675
가게,0.05519273645670262
골뱅이,0.05340894079175215
소스,0.051677609705182585
메뉴판,0.0514152868132781
알다,0.0501561369321366
음식,0.049264239099661364
파스타,0.04843886876321172
치즈,0.04816863797513243
치킨,0.04669347475899746
웨이,0.046588545602235666
가격,0.04653608102385477
내부,0.0461163643968076
일기,0.04546633009433959
오늘,0.0448572145156661
처음,0.04469982078052341
요즘,0.04401778126157176
오뎅,0.04233891475338309
종로,0.042233985596621296
소주,0.04139455234252696
사장,0.04128962318576517
주간,0.040872406696991756
칵테일,0.04018786703976635
저녁,0.040030473304623664
식당,0.03997800872624277
노포,0.03992659893871426
영업,0.03903364631538664
아주,0.03887625258024395
하이,0.037722031855864244
신당역,0.03729184875494124
리다,0.036830134023389006
노가리,0.03642040371560095
영상,0.03620055908281825
만선,0.03614336790560428
크림,0.035805579420505176
닭발,0.03562093143891702
인테리어,0.035361125828723916
완전,0.03483648004491496
포장마차,0.034792213965207854
한잔,0.034626621731391374
튀김,0.03441676341786779
고기,0.03352486558539256
역시,0.03347240100701166
데이트,0.03347240100701166
계속,0.033000219801583595
보고,0.033000219801583595
신당동,0.03283304075163304
도움말,0.03242310943939374
공간,0.03216078654748926
구이,0.0316886053420612
간판,0.03126888871501403
떡볶이,0.031008982932097875
먹기,0.030796707509585967
근처,0.030691778352824172
충무로,0.03046852135593931
생맥주,0.030063175173820383
후기,0.029380163893301774
국물,0.029327699314920876
루프,0.028425680948761717
기본,0.02822594316892206
한번,0.027911155698636683
입구,0.027911155698636683
야외,0.027229116179685035
종류,0.026966793287780556
장만옥,0.02688796341388879
화장실,0.02665200581749518
이름,0.026179824612067117
출구,0.02596996629854353
린지,0.025942155655611296
삼겹살,0.025849603612780186
가기,0.02560271424987726
요리,0.02544532051473457
휴무,0.025401694079452728
뭔가,0.025025603887687403
어묵,0.02492879020031398
막걸리,0.02486123250329416
인스타,0.02439602894711665
컨셉,0.024186170633593067
차로,0.02413370605521217
라면,0.024050540139056307
레트로,0.02402877689845038
수표로,0.0239841683005177
존맛,0.023982982442036484
선택,0.023399201957879628
디저트,0.023374963168858096
날씨,0.023294272801117833
기분,0.02324180822273694
생기,0.02308441448759425
광고,0.023031949909213353
조명,0.02297948533083246
야장,0.022874556174070665
소요,0.022769627017308874
코드,0.022244981233499914
동영상,0.022140052076738123
시작,0.022140052076738123
주소,0.022087587498357226
화질,0.022087587498357226
부산,0.02202990273529033
지로,0.021982658341595435
매장,0.021930193763214537
홍콩,0.021821136137402213
원래,0.02177280002807185
마늘,0.02177280002807185
트랙,0.021667870871310058
살짝,0.02161540629292916
식품,0.021496921217501047
재생,0.021195689665881992
피자,0.0210907605091202
먼저,0.021038295930739304
음료,0.021010443773164356
무치,0.020942886076144536
건물,0.02082843761721572
자동,0.02072350846045393
지다,0.020671043882073033
랭맥,0.020608618687852246
오픈,0.02056611472531124
취향,0.020093933519883176
곱창,0.019989004363121385
계란말이,0.01998680691709808
문래,0.0198979766641332
라떼,0.019794405226807577
포스팅,0.019674216892836008
김치,0.019591732135748115
볶음밥,0.01954265565227368
새우,0.01951682315769332
일상,0.019464358579312425
손님,0.019411894000931528
파다,0.01925450026578884
점심,0.019202035687407946
별로,0.019202035687407946
소개,0.019202035687407946
명동,0.018939712795503463
기억,0.018782319060360778
이자카야,0.018782319060360778
고추장,0.018743183375589757
강남,0.018743183375589757
오징어,0.01872985448197988
최고,0.01872985448197988
리뷰,0.018677389903598983
찌개,0.018654353122624874
제일,0.01862492532521809
볶음,0.0185783666804508
중앙시장,0.018443251286411156
오빠,0.01836260243331361
생일,0.018308135892371513
퇴계로,0.01824057819535169
위스키,0.018152744119790024
매콤,0.018100279541409126
감자,0.017837956649504647
참고,0.017837956649504647
고민,0.017733027492742855
양념,0.017680562914361958
마르다,0.017628098335981064
주말,0.017575633757600167
달달,0.017523169179219273
식사,0.017523169179219273
마지막,0.01741824002245748
조합,0.017365775444076584
옛날,0.017365775444076584
블로그,0.01726084628731479
우동,0.01705540856925703
마음,0.017050987973791207
인분,0.01687774806332727
맥옥,0.01661125730443263
사랑,0.01641652037581652
블챌,0.01641652037581652
음악,0.01628140498177688
실내,0.01626401929807777
해물,0.016255936292573107
장소,0.01610662556293508
도루묵,0.016078275786643344
매일,0.016054160984554183
노래,0.01594923182779239
이용,0.015739373514268806
가면,0.01568690893588791
도착,0.01568690893588791
평일,0.015634444357507014
준비,0.015634444357507014
꼬치,0.015529515200745223
아이스크림,0.015456464015889185
케이크,0.01542458604398343
줄리아,0.015367633762924304
네이버,0.015267192308840742
여행,0.015109798573698055
하루,0.014952404838555367
일요일,0.014899940260174471
가장,0.014742546525031782
직원,0.014637617368269991
홍대,0.014592462556281353
서비스,0.014585152789889094
주차,0.014532688211508198
구경,0.014480223633127303
가맥집,0.0144793312332755
육회,0.0144793312332755
퇴근,0.014427759054746407
회사,0.01437529447636551
동네,0.014322829897984614
