,cluster,perplexity_score
0,3,-13.516818992378349
1,4,-13.935379162581626
2,5,-14.529498130209081
3,6,-15.036267074207368
4,7,-15.62115960570756
5,8,-16.13967602174448
6,9,-16.77288153533572
7,10,-17.378197443372738
