,cluster,coherence_score
0,3,-6.543001550842324
1,4,-7.135960614687891
2,5,-8.556710621512629
3,6,-9.035551485620035
4,7,-10.19529918041911
5,8,-10.222748788178034
6,9,-10.658764269005509
7,10,-10.63309024400555
