,0,1,2,3,4
33,세르주루텐 라 휘드 베흘랑 오 드 퍼퓸,세르주루텐,"고혹적으로 부서지는 붉은 장미, 세르주루텐 특유의 서늘한 감성이 녹아난 베스트셀러","130,000원 36.6% 할인",4.8
34,데렉 램 10 크로스비 드렁크 온 유스 오 드 퍼퓸 10/50/100ml,데렉 램 10 크로스비,사과샴푸향을 풍기며 뛰어가는 대학교2학년의 근처에서 날법한 산뜻한 향기,"33,300원 10.0% 할인",4.8
35,산타마리아노벨라 프리지아 오 드 코롱 100ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"152,000원 22.1% 할인",4.8
36,메종 마르지엘라 마차 메디테이션,메종 마르지엘라,"동양적인 무드의 말차라떼, 그 달콤함이 오렌지 플라워에 차분히 스미는 정갈함","80,900원 9.1% 할인",5.0
37,나르시소 로드리게즈 플레르 머스크 포허 30/50/100ml,나르시소 로드리게즈,디올 블루밍부케와 유사하면서 조금 더 따뜻하게 달콤하고 은근하게 섹시함,"51,500원 40.1% 할인",4.8
38,르페르소나 LP01 미스틱 로즈 오 드 퍼퓸,르페르소나,"사랑하는 이의 달콤한 말을 닮은 피오니와 장미, 손이 스치는 순간의 페퍼, 서로의 눈속에 마주한 부드러운 우디","104,000원",5.0
39,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0
40,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0
41,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5
42,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원 22.3% 할인",5.0
43,산타마리아노벨라 프리지아 50ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"103,500원 24.5% 할인",4.8
44,산타마리아노벨라 엔젤 디 피렌체 오 드 코롱 50/100ml,산타마리아노벨라,상큼달콤한 복숭아와 재스민이 어울린 비누계열의 시트러스 향취,"103,000원 24.8% 할인",4.9
45,나르시소 로드리게즈 포허 오 드 뚜왈렛 30/50/100ml,나르시소 로드리게즈,단아한 오스만투스와 성숙한 머스크가 동시에 어울린 살결같은 향기,"44,800원 41.1% 할인",4.8
46,나르시소 로드리게즈 엉브레 오 드 퍼퓸 30/50/90ml,나르시소 로드리게즈,"부족할 땐 채워주고, 넘칠 땐 닦아주는 배려심 깊은 프랑지파니 - 바닐라","63,000원 26.7% 할인",5.0
47,프라다 라팜므 로 오 드 뚜왈렛 35/50/100ml,프라다,"환하게 웃는 얼굴 위 드리워진, 청초한 푸루메리아와 일랑일랑","85,000원 10.5% 할인",4.8
48,미우미우 로블루 오 드 퍼퓸,미우미우,청량한 하늘의 푸르름을 담은 이슬먹은 은방울꽃,"140,000원 15.2% 할인",4.5
49,프라다 레스 인퓨전 디 로즈 오 드 퍼퓸 100/200ml,프라다,"다우니의 장미 섬유 유연제 같은, 정말 은은한 로즈","184,000원 9.8% 할인",4.8
50,프라고나르 벨 드 뉘 50/60ml,프라고나르,"가드니아와 붓꽃이 어울린 단정함 , 디올 쟈도르보다 조금 더 차분한 아름다움","96,000원 12.7% 할인",5.0
51,아쿠아 디 파르마 벚꽃 오 드 퍼퓸 100ml,아쿠아 디 파르마,"달지 않게 달콤한 벚꽃, 그 한 송이의 잔잔함을 닮은 데일리","220,000원 25.9% 할인",4.8
52,아쿠아 디 파르마 피오니아 노빌레 오 드 퍼퓸,아쿠아 디 파르마,"첫사랑도 잊게 만들 정도로, 보면 볼수록 더 예뻐 보이는 피오니 향기","130,000원 36.6% 할인",5.0
53,메종 마르지엘라 뮤티니 오 드 퍼퓸 50ml,메종 마르지엘라,"마르지엘라의 감각적 고급스러움, 지는 석양을 내리쬐는 튜베로즈와 캐시미어 우드의 조화","130,000원 13.3% 할인",0.0
54,세르주루텐 페미니떼드부아 오 드 퍼퓸,세르주루텐,"세르주루텐의 첫 작품, 오리엔탈 계열의 삼나무와 클로브가 묘사하는 관능적인 여성성의 끝","174,500원 14.9% 할인",4.3
55,세르주루텐 튜베로즈 크리미넬 오 드 퍼퓸,세르주루텐,"달빛처럼 유려하게 흐르는 곡선, 튜베로즈의 본질에 가장 가깝게 마주한 순연의 향기","395,000원 15.1% 할인",0.0
56,바이레도 선데이 코롱 오 드 퍼퓸,바이레도,"센트럴파크 화단에 핀 제라늄과 베티버, 그 사이를 톡톡히 적시는 푸른 봄비의 베르가못","197,000원 17.9% 할인",5.0
57,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원 13.6% 할인",0.0
58,돌체 앤 가바나 앤쏠로지 3 램프하트리스 50/100ml,돌체앤가바나,"남자들이 꼭 물어본다는 전설의 향수, 넥타린의 부드러운 달콤함","58,500원 16.4% 할인",4.6
