"날짜","향수"
"2019-08-12",69
"2019-08-13",67
"2019-08-14",58
"2019-08-15",69
"2019-08-16",58
"2019-08-17",50
"2019-08-18",62
"2019-08-19",71
"2019-08-20",69
"2019-08-21",70
"2019-08-22",80
"2019-08-23",62
"2019-08-24",59
"2019-08-25",69
"2019-08-26",72
"2019-08-27",88
"2019-08-28",84
"2019-08-29",95
"2019-08-30",66
"2019-08-31",73
"2019-09-01",98
"2019-09-02",93
"2019-09-03",98
"2019-09-04",82
"2019-09-05",82
"2019-09-06",66
"2019-09-07",71
"2019-09-08",77
"2019-09-09",75
"2019-09-10",69
"2019-09-11",59
"2019-09-12",66
"2019-09-13",60
"2019-09-14",74
"2019-09-15",73
"2019-09-16",71
"2019-09-17",65
"2019-09-18",80
"2019-09-19",77
"2019-09-20",71
"2019-09-21",64
"2019-09-22",75
"2019-09-23",65
"2019-09-24",68
"2019-09-25",58
"2019-09-26",59
"2019-09-27",51
