,단어,tf-idf,idf
4795,매실주,198.5691901745863,6.6719267895587535
4794,매실,184.92839784671907,6.349328452000744
4819,매화수,42.07726802192237,8.126489121807648
12684,진하다,20.87844523395481,6.018914445419238
2839,단맛,20.255335438524416,5.515780147196643
2924,달콤하다,20.142131041118596,5.70419049062716
10680,은은하다,18.912496423721567,6.169768056648118
1897,꿀,16.86704565233949,6.8675341830643575
947,곳,12.784485869936026,6.71074149377426
7270,상큼,12.021530841885243,6.584492490169079
13868,탄산수,11.473035299595859,7.277639670729024
10714,음료수,11.163154664782068,6.742915850802117
8002,순하다,10.801393474329572,6.527980279905736
1906,꿀맛,10.376256154982146,7.354972874132194
8425,식당,10.354058302924638,7.375278140292941
10713,음료,10.039921755458824,6.870625375634031
7412,서다,10.026309621456138,6.651825610237666
4395,마싯다,9.337215553446695,7.773080375655535
14255,판매,9.109087271634962,6.737481054816159
3165,덕분,8.992048882623244,6.8163952215731705
6655,비교,8.834270515718623,7.038805903671728
11206,입,8.796758477254274,6.427687528756948
7120,살,8.694218444089218,7.272999291172522
4779,매다,8.550902752818317,8.073566720353304
1108,굉장하다,8.49667469818551,6.724021901442155
1497,금방,8.454520923668051,6.864452516526949
8765,쓸다,8.216279389010117,7.110943431838151
7790,손님,8.092389224956097,6.934544893347318
9022,안주,8.060658638148674,6.547958746836623
5732,반주,7.961068874321397,7.250114997338934
1921,꿀향,7.896762957660573,8.489394615497016
2650,늘다,7.875630590059451,6.185248241936017
9652,여러,7.848404234115907,7.530283886439932
15234,혼술,7.7760463326802824,7.263782636067598
13574,캠핑,7.5083173771145155,7.091449637157149
776,고급스럽다,7.375656744514296,5.646121744453065
2247,냄새,7.345750115036774,6.751123831219946
10054,완벽하다,7.200070562932031,6.924692596904306
7547,설중매,7.187765504893036,9.875688976616905
2674,늦다,7.10472709502757,6.889375924979406
3179,덜,7.017805578184192,7.027876833139537
12775,짱,7.016233133720878,7.006370627918574
9188,액,6.982348626790396,8.819636302367591
