술이름,단맛,순함,독함,부드러움,탄산,선물,향
느린마을 막걸리,0.12513872,0.008402473,0.000422766,0.167890926,0.00708133,0.029065159,0.001479681
곰표막걸리,0.154695236,0.00941482,8.12E-05,0.261991721,0.010307605,0.047885724,0.001704407
복순도가,0.104367839,0.001150748,5.00E-05,0.054085155,0.025666683,0.142192425,0.001200781
죽향도가,0.253389681,0.007571756,0.000176087,0.1780243,0.003873921,0.035041381,0.010213066
