,단어,tf-idf,idf
6290,복숭아,278.6032754882581,5.555703982882008
10040,와인,195.56370198489785,4.7985639412518175
2925,달콤하다,30.187585367832057,5.70419049062716
10684,은은하다,29.33230192520041,6.169768056648118
12918,차갑다,23.654974146727792,7.630997862041762
6950,사과,21.622068352698516,8.278829846389666
9683,여자친구,21.6021565295174,7.765475776270316
3708,디저트,21.193390326226623,8.043107512868595
1564,기념일,20.84463547655823,8.053157848722098
2840,단맛,16.850248984117407,5.515780147196643
12688,진하다,16.52251684005547,6.018914445419238
15336,화이트와인,16.40874375435167,7.98483860474462
7273,상큼,13.526651628582172,6.584492490169079
1006,과일,13.363657461027389,7.031506601190116
6886,뽁뽁이,13.326417922983712,8.08392950738885
1412,그렇게,11.139843297138729,7.592031893508379
2063,나중,11.07177922427358,7.197239245290986
2945,담,10.670677034506568,6.603272384820675
13872,탄산수,10.426514958949504,7.277639670729024
7037,사이즈,10.401079515755386,7.852487153259946
3574,드라이,10.12118160471559,7.780743248401104
5496,미리,9.555216815154239,7.04247563256069
2437,놀다,9.513866400496333,7.4333419412477015
10290,용량,9.46929678542897,7.254650152504325
9703,여행가,9.323782256418605,8.073566720353304
200,갈다,9.247108038313032,6.889375924979406
9997,올라오다,9.097544982922853,6.773346968004657
14530,품절,9.05214780708694,8.137418192339837
12621,직접,8.38466444131952,6.773346968004657
3067,대요,8.373038683170037,7.210198389933492
12362,줄,8.229541084598319,7.00283080121345
10793,의향,8.163740527294522,7.637642404760431
13670,코르크,8.108924657946547,8.841615209086367
2045,나오다,8.10207839028006,6.692440329391856
7415,서다,8.075899209961037,6.651825610237666
13915,탱,7.959110453319758,7.611325096443058
15334,화이트,7.929579136216686,8.677985785304564
3168,덕분,7.906887459215285,6.8163952215731705
229,감동,7.8759920682484115,7.1268167809944405
10891,이산,7.865601474767308,9.757905940960523
3182,덜,7.861739389528752,7.027876833139537
10718,음료수,7.816195101748495,6.742915850802117
8235,스티로폼,7.62774797449293,7.268380345316228
