번호,이름,해시태그,종류,양조장위치,도수,용량,가격,평점,맛,향,리뷰수,복숭아,포도,머루,매실,상큼,요거트,우유,누룩,막걸리,꿀향,꿀,단맛,달달,달콤하다,계피,인삼,순하다,부드럽다,은은하다,걸쭉한,진하다,가볍다,탄산,스파클링,와인,고급스럽다,샴페인,해시태그_vector,원핫인코딩
10,안동소주 일품 21도,#은은하다 #담 #온라인,증류주,경상북도 안동시 풍산읍 ㈜ 안동소주일품,21,350,5280,4.84,부드러움 깔끔함 은은함 순함,곡물향,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[19, 10, 21]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
11,안동소주 일품 40도,#더락 #위스키 #온라인,증류주,경상북도 안동시 풍산읍 ㈜ 안동소주일품,40,350,8590,4.86,깔끔함 단맛 은은함 순함,곡물향,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[43, 47, 21]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,고헌정 동학 1957 특선 13도,#사케 #단맛 #약주,증류주,충청북도 충주시 산척면 샛강영길 39,13,375,3500,4.84,단맛 가볍다 은은하다 부드럽다 달달 사케 드라이 ,누룩향,1349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[25, 49, 41]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
13,양촌양조 무농약 우렁이쌀,#약주 #백세주 #완벽하다,청주,충청남도 논산시 양촌면 매죽헌로 1665번길 14-7,14,500,16000,4.86,가볍다 반주 달달 단맛 부드럽다 순하다 ,약초향 고구마향 약재 ,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[41, 36, 34]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,오메기 맑은술,#제주도 #와인 #화이트와인,청주,제주특별자치도 제주시 애월읍 애원로 283,16,500,30000,4.83,깔끔하다 달콤하다 은은하다 부드럽다 달달 산미 맑다 상큼 ,과일 화이트 와인 과실 ,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[22, 9, 1]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
15,우포의아침,#사케 #드라이 #단맛,청주,경남 창녕군 대지면 대지농공단지길 40,14,700,4500,4.7,부드러움 청주 드라이 달달 도수 ,누룩향 미미,482,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[25, 20, 49]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
16,복순도가,#샴페인 #스파클링 #와인,막걸리,울산광역시 울주군 상북면 향산동길 50,6.5,935,12000,4.8,산뜻하다 스파클링 탄산 꿀떡꿀떡 순하다 달짝지근하다 달달 부드럽다 고소하다 청량하다 담백하다 연하다 단맛 신맛 깔끔하다 시큼하다 와인 샴페인,청포도 누룩 포도 복숭아 향기,27821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"[46, 6, 9]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1]
17,배상면주가 느린마을 막걸리,#우유 #단맛 #순하다,막걸리,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,6,1000,10000,4.8,고소하다 뽀얗다 담백하다 크림 우유 부드럽다 달맛 달다 달짝지근하다 달달하다 고급스럽다 깔끔하다 걸쭉하다 쌀맛 텁텁하다 반반 청량하다 반반 ,사과 요구르트 곡물 과일,18923,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[38, 49, 7]",[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
18,죽향도가,#꿀 #단맛 #꿀맛,막걸리,전라남도 담양군 담양읍 삼다리 78,6,600,3800,4.8,부드럽다 순하다 굉장하다 깔끔하다 달콤하다 달달 중독 청량하다 텁텁 긍정 라이트 맑다 신맛 담백하다 감칠맛 묵직하다 묵직하지 않아서 좋다 산미 가볍다 고급스럽다,꿀향,5916,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[16, 49, 42]",[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
19,모주,#음료 #음료수 #진하다,탁주,전북 남원시 주천면 장백산로 130,1,500,3000,4.69,단맛 순함,계피,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"[24, 15, 37]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
20,술샘 이화주,#요거트 #특이하다 #과일,탁주,경기도 용인시 처인구 양지면 죽양대로 2298-1,8,100,7500,4.56,부드러움 쌀맛 단맛 신맛,과일,1616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[27, 44, 48]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
21,금이산농원 복숭아 와인,#복숭아 #와인 #달콤하다,과실주,세종특별자치시 전의면 가느실길 127,12,500,20000,4..82,달달하다 신맛 깔끔하다 자연스러움,복숭아향 약함 은은하게 퍼짐,3794,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[2, 9, 33]",[1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
22,덕유양조 산머루주,#머루 #와인 #진하다,과실주,전라북도 무주군 안성면 장무로 1375-7,16,350,5700,4.79,단맛 달달하다 달다 ,머루향 진함,1053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"[31, 9, 37]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0]
23,배상면주가 빙탄복,#스파클링 #복분자 #와인,과실주,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,7,370,4000,4.8,탄산음료같다 도수가높지않다 뒷맛이 깔끔,복분자,7754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"[6, 28, 9]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0]
24,산내들 소백산 스위트 와인,#와인 #달콤하다 #포도,과실주,경상북도 영주시 단산면 좌석리 277-1,12,750,15500,4.76,부드러움 목넘김 ,향긋하다,3541,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[9, 33, 18]",[0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
25,컨츄리 와인 영동포도 와인,#와인 #달콤하다 #포도,과실주,충청북도 영동군 영동읍 조현길 30,12,750,23050,4.87,떫은 맛 부드러운 목넘김 달달,포도,758,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[9, 33, 18]",[0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
