,단어,tf-idf,idf
10686,은은하다,6.279019664204495,6.169768056648118
2945,담,5.951746661516302,6.603272384820675
9992,온라인,5.800737665899503,7.013488095687437
1713,깔다,5.516056513322176,6.978396775876167
3551,뒷맛,5.473294393739919,7.201540327190377
2675,늦다,5.264118131125094,6.889375924979406
10060,완벽하다,5.014570449052467,6.924692596904306
1743,깨다,4.997719338563787,6.506240293269331
1740,깨끗하다,4.830314151832718,7.180217557721556
3271,도로,4.661712392651456,8.371611579840632
229,감동,4.468357204198261,7.1268167809944405
13496,친정,4.467087488652011,7.713803765725995
7124,살,4.345119228409309,7.272999291172522
11177,일품진로,4.0221387021903405,9.352440832852357
776,고급스럽다,4.017267519915167,5.646121744453065
13580,캠핑,4.010265968543188,7.091449637157149
5314,무척,4.0082751436213515,7.66467107714835
9027,안주,3.9901117745206687,6.547958746836623
15242,혼술,3.9348371369121105,7.263782636067598
3664,듭니,3.921484519438093,6.941167434107811
7416,서다,3.915793906390481,6.651825610237666
7047,사주다,3.891802854487721,8.241558451592434
3267,도랑,3.8406464496115085,10.009220369241428
862,고집,3.8264426988589224,9.940227497754478
11212,입,3.8230629097997957,6.427687528756948
12781,짱,3.8187659145773125,7.006370627918574
15345,화학,3.733492269083331,8.115678205703432
14961,해주시,3.7300357778883457,7.671543956436112
14371,편리하다,3.6836812270420203,8.414171194259428
11766,전통,3.67821877002691,7.354972874132194
5736,반주,3.6611873912778665,7.250114997338934
10570,유리,3.6447561722256934,7.79624743493707
8285,습,3.6355227118289957,7.167638775514695
14151,특유,3.609997057663869,6.687272359233414
4787,매력,3.4506603639063007,7.017065917035321
13669,코로나,3.446519391855713,7.579373496636455
12296,주시,3.3781073770090218,8.033157182015428
2833,단골,3.3627806730863723,7.9661464717324675
13201,초록,3.356711614010699,9.214290494371541
2651,늘다,3.3238524701433745,6.185248241936017
2840,단맛,3.311133790766109,5.515780147196643
200,갈다,3.3075187945467457,6.889375924979406
