술이름,단맛,순함,독함,부드러움,탄산,선물,향
금이산농원 복숭아와인,0.188027426,0.000263713,0.000263713,0.058808017,0.000791139,0.192774262,0.024261603
덕유양조 산머루주,0.169362512,0.000951475,0,0.04376784,0.005708849,0.047573739,0.007611798
배상면주가 빙탄복,0.146910873,0.005030311,0,0.046175674,0.009157745,0.057655101,0.002966594
산내들 소백산스위트와인,0.364509749,0.000565131,0.000565131,0.05057926,0.001695394,0.077140435,0.003108223
컨츄리와인 영동포도와인,0.332892999,0,0,0.121532365,0,0.174372523,0.019815059
