술이름,단맛,순함,독함,부드러움,탄산,선물,향
양촌양조 무농약 우렁이쌀,0.089341693,0.010971787,0,0.145768025,0.003134796,0.048589342,0.014106583
고헌정 동학 1957 특선,0.067953668,0.006949807,0,0.2,0.000772201,0.036293436,0.01003861
오메기맑은술,0.128699243,0.002752925,0,0.170681349,0,0.234686855,0.019270475
우포의아침,0.063157895,0.002105263,0,0.178947368,0,0.016842105,0.010526316
