,cluster,perplexity_score
0,3,-10.859760665048075
1,4,-11.352655904592563
2,5,-11.844995407651435
3,6,-12.310305396581
4,7,-12.831365205778512
5,8,-13.154296175965964
6,9,-13.569606897084206
7,10,-14.043428361895302
