,tfidf
을지로,0.5017169060976528
술집,0.2636916267556041
맛집,0.24982946937793504
지도,0.2194259141210306
보기,0.16114272581884215
분위기,0.15677439891411452
메뉴,0.15244490158187332
복사,0.13341841106350402
맥주,0.12992374953972188
와인,0.1290003724792227
감성,0.1283899814265064
추가,0.1258272296423995
안주,0.1183331221525112
주문,0.11738179762659273
기능,0.11221746448589248
이웃,0.1048592604997068
느낌,0.10476218656849064
공유,0.10305368537908605
신고,0.1015975764108435
본문,0.10107337718227617
거리,0.09942312035160128
사진,0.09678270942252146
카페,0.0911524214119836
전체,0.08868674355909288
추천,0.08853142526914701
정말,0.0841825131506626
위치,0.08356123999087911
친구,0.08212454580887979
서울특별시,0.08183332401523129
서울,0.0801830671845564
중구,0.07954237923852968
을지,0.07612521980605294
호프,0.07592521922856577
테이블,0.07503814883009939
자리,0.0735626250756136
칵테일,0.07259188576345191
방문,0.07228124918356016
신당,0.07142520623510451
데이터,0.07129109508515523
동시,0.0704174297042097
부동산,0.0686506841560754
구시,0.0677964335613731
범례,0.06775760398888664
컨트롤러,0.0677381892026434
도국,0.0677381892026434
도지,0.06705867168413021
골목,0.059079194538161045
가게,0.05680766454770267
가격,0.05509916335829808
메뉴판,0.05395369096994727
소스,0.051856894055678
알다,0.050439614659921916
음식,0.05024546679748958
요즘,0.0471779305710586
파스타,0.0460907025414375
치킨,0.04576065117530252
처음,0.04537235545043784
오늘,0.044925815366843466
커피,0.044100127335920315
식당,0.04255721144516891
골뱅이,0.042071841789088064
사장,0.04174179042295309
인테리어,0.04121759119438577
내부,0.04119817640814254
포차,0.04090695461449403
소주,0.04032451102719701
만선,0.040025115569619296
리다,0.03985855615735939
치즈,0.03962557872244058
아주,0.0383247880441439
웨이,0.037839418388063054
한잔,0.037354048731982205
컨셉,0.0371793156557931
영상,0.03661628685473931
데이트,0.036344479847334035
고기,0.03589793976373966
신당역,0.03542510228741445
종로,0.03519900745898323
저녁,0.035160177886496766
보고,0.03428651250555123
떡볶이,0.03422509882249145
튀김,0.033626409773281275
역시,0.03350992105582187
공간,0.033238114048416596
입구,0.03304396618598426
계속,0.03296630704101132
예약,0.03265567046111958
도움말,0.03236444866747107
영업,0.032247959950011666
간판,0.03184024943890375
오뎅,0.031820834652660515
완전,0.03156844243149848
하이,0.031432538927795836
노가리,0.03090833969922852
신당동,0.03050008806679297
한번,0.030170577821985626
피자,0.029180423723580692
국물,0.028830957571202482
먹기,0.028714468853743076
크림,0.02860008258066488
뭔가,0.02828734355639193
이름,0.028170854838932526
가기,0.028073780907716357
기본,0.027918462617770482
충무로,0.027775080198530314
장만옥,0.027575079621043146
근처,0.027394263389203165
막걸리,0.02730007882699829
생기,0.02659825715323057
레트로,0.026520598008257637
구이,0.02586049527598768
장소,0.025511029123609467
조명,0.02488975596382598
출구,0.0245014602389613
오픈,0.024462630666474833
닭발,0.024300070164690785
종류,0.024210238445312792
후기,0.024171408872826323
요리,0.023996675796637217
인스타,0.023802527934204877
지로,0.0234724765680699
선택,0.02323949913315109
기분,0.023200669560664623
마늘,0.02318125477442139
광고,0.022909447767016113
코드,0.022346418965962327
동영상,0.022288174607232626
시작,0.022288174607232626
화장실,0.022249345034746158
소요,0.02217168588977322
화질,0.022152271103529988
생맥주,0.02207461195855705
지다,0.02201636759982735
노포,0.02201636759982735
손님,0.02186104930988148
주소,0.02178339016490854
살짝,0.021589242302476202
차로,0.021589242302476202
트랙,0.021511583157503265
먼저,0.02143392401253033
