,tfidf
카페,0.627847062238738
커피,0.4745556453017457
분위기,0.12333144539133677
주문,0.11554721215164687
약방,0.11433188814200475
감성,0.11274975333113331
맛있다,0.10910089400002868
많다,0.10824949348943759
중구,0.10634431787454961
느낌,0.10362760500337172
라떼,0.09820012858224243
디저트,0.09287508173727235
자리,0.09207288378820704
오다,0.08793750987962178
메뉴,0.087329366657771
나오다,0.08611308021406945
공간,0.08161282037237373
혜민,0.07956246462484713
찍다,0.07784233239689894
추가,0.07735581781941832
크다,0.0768693032419377
이웃,0.0763827886644571
공유,0.07626116002008693
신고,0.07467998764327492
와인,0.07078787102342998
서울특별시,0.07054461373468966
예쁘다,0.07042298509031951
말다,0.07042298509031951
음료,0.06957158457972842
닫다,0.06847692678039703
싶다,0.06701738304795518
테이블,0.06677412575921488
서울,0.06543621067114318
정말,0.06166572269566838
들어가다,0.05996292167448622
찾다,0.056192433699011425
호랑이,0.05606961089703794
앉다,0.05558429047716065
인테리어,0.05521940454405019
방문,0.053638232167238176
추천,0.05351660352286802
도지,0.053273346234127716
도국,0.05290846030101725
올라가다,0.050597516057984314
많이,0.04950285825865292
친구,0.048773086392432
충무로,0.048082040629582816
케이크,0.04745556453017457
건물,0.04694865672687967
호텔,0.046202612331358084
골목,0.046097256216288594
간판,0.04536748435006766
요즘,0.04390794061762581
가보다,0.0423267682408138
내부,0.04171862501896303
크림,0.03993785133727563
입구,0.0396509380646704
좋아하다,0.03806976568785839
가격,0.03648859331104638
넘다,0.035880450089195604
느끼다,0.03466416364549406
모르다,0.032961362624311895
개다,0.032474848046831276
인스타,0.03235321940246112
계단,0.03235321940246112
고르다,0.032109962113720816
저녁,0.032109962113720816
신당역,0.031793662044968446
보고,0.031501818891870044
빈티,0.030893675670019268
주다,0.030772047025649115
조명,0.030772047025649115
메뉴판,0.03040716109253865
알다,0.03040716109253865
레트로,0.029312503293207257
나다,0.028947617360096795
리다,0.028704360071356485
엄청,0.028704360071356485
오늘,0.028217845493875866
근데,0.027974588205135556
유명하다,0.027609702272025093
평일,0.02740832934911073
맞다,0.02700155905017432
영업,0.02700155905017432
소품,0.02693847227455454
만들다,0.02639341582832355
받다,0.02615015853958324
뭔가,0.02590690125084293
가게,0.025785272606472776
처음,0.02566364396210262
해보다,0.025177129384622
직접,0.025059043976329808
루프,0.025059043976329808
작다,0.025055500740251847
다녀오다,0.024933872095881694
한번,0.024812243451511538
근처,0.024690614807141385
이름,0.024204100229660765
차다,0.024082471585290612
판매,0.023960842940920456
종류,0.023717585652180146
아주,0.023352699719069683
다양하다,0.023352699719069683
가기,0.022553139578696823
컨셉,0.02189315598662783
아쉽다,0.02189315598662783
역시,0.02164989869788752
마음,0.021528270053517363
사장,0.02140664140914721
이쁘다,0.021041755476036747
데이트,0.02092012683166659
생기,0.02067686954292628
좁다,0.02067686954292628
어울리다,0.02067686954292628
달달,0.020555240898556128
들어오다,0.020555240898556128
치즈,0.02006872632107551
즐기다,0.02006872632107551
괜찮다,0.019947097676705355
찾기,0.019890616156211783
갈다,0.0198254690323352
귀엽다,0.019703840387965046
포스팅,0.019460583099224736
좌석,0.0194207590816556
사이,0.019107521031951475
느껴지다,0.019095697166114273
레이스,0.019095697166114273
장소,0.018974068521744117
의자,0.018974068521744117
독특하다,0.018974068521744117
후기,0.018852439877373964
화이트,0.018637663957395294
해주다,0.018365925299893344
손님,0.018122668011153035
선택,0.018122668011153035
두다,0.018001039366782882
끄다,0.017636153433672416
넓다,0.017514524789302263
찾아가다,0.017271267500561953
