,cluster,coherence_score
0,3,-15.360049976785357
1,4,-15.862653486254311
2,5,-14.031301010190669
3,6,-16.222200802623536
4,7,-15.863961662612558
5,8,-14.6972310670453
6,9,-13.351332034277043
7,10,-12.378956769637702
