,cluster,coherence_score
0,3,-10.432737459405999
1,4,-10.9490194268509
2,5,-11.928059095722677
3,6,-11.995432940406767
4,7,-12.735872497324198
5,8,-13.58035765094765
6,9,-12.622291158126002
7,10,-13.84832429393756
