,cluster,perplexity_score
0,3,-10.934002174650654
1,4,-11.128677181236533
2,5,-11.370396100854112
3,6,-11.757224386325356
4,7,-12.387621132636344
5,8,-13.253162807681095
6,9,-14.293181704327338
7,10,-15.343940452912918
