,tfidf
와인,0.3008190840972281
분위기,0.26535869408466434
메뉴,0.2333531355230519
감성,0.20339283718040257
맥주,0.1922820992341433
안주,0.1875835284608496
중구,0.1644248583601936
느낌,0.16301276718168423
공유,0.16063584314342977
추천,0.1437209883595724
칵테일,0.13965436021761898
카페,0.13827617399287323
정말,0.12968055334290648
친구,0.12879611649146297
서울,0.12274325178939635
자리,0.1176577398935961
테이블,0.11663510978411452
을지,0.1141364763552253
방문,0.11232348013332735
도국,0.10624297677965314
도지,0.10541381723142483
골목,0.0921749031113796
가격,0.08813965997666853
가게,0.08786327346059243
호프,0.08548634942233797
메뉴판,0.08485066043536293
식당,0.08000586181682147
알다,0.07896362764294199
소스,0.07890835033972678
음식,0.0781897453979289
치즈,0.075702266753244
영상,0.0735641087079048
파스타,0.07351881327624281
요즘,0.072938401592483
오늘,0.07056147755422852
처음,0.07003634317368394
인테리어,0.06694081419363161
예약,0.06673086784098767
커피,0.06644614947153278
사장,0.0661116546454033
치킨,0.06605637734218808
내부,0.06572471352289677
도움말,0.06520050660516769
리다,0.06282265510409771
데이트,0.06273973914927487
골뱅이,0.06188294094943896
하이,0.06060942289770773
한잔,0.059312546349931224
오뎅,0.05904347186570589
포차,0.058483386801702925
소주,0.05845574815009531
웨이,0.05663159714399305
컨셉,0.055553689731296256
저녁,0.055415496473258205
가기,0.05537772285897429
피자,0.05491505550861012
공간,0.05477980748628317
입구,0.05472453018306796
보고,0.05331495895107984
고기,0.052237051538383046
종로,0.052209412886775435
역시,0.051739555809446065
신당역,0.05149843507515155
계속,0.051020950867648206
영업,0.05008123671298946
간판,0.04988776615173619
튀김,0.04983248884852097
신당동,0.046231145240236256
한번,0.04582488436541751
충무로,0.04562611870514463
만선,0.04554849784934141
코드,0.044949912577689294
크림,0.04466519420823441
화질,0.04462960441205255
소요,0.04462960441205255
노가리,0.044498229088252225
먹기,0.044360035830214174
이름,0.04416656526896091
뭔가,0.043779624146454366
트랙,0.043383961545687445
기본,0.04322685111430216
떡볶이,0.0419554731403521
국물,0.041319784153377066
근처,0.041292145501769455
원래,0.04099944520150282
노포,0.0409282656091391
루프,0.04085708601677538
조명,0.04051826325675637
재생,0.04035882887022934
레트로,0.040076044831034614
생기,0.03999312887621178
장소,0.039965490224604175
구이,0.039827296966566124
지로,0.03974438101174329
종류,0.03960618775370524
장만옥,0.039397904373319116
오픈,0.03827953247653996
출구,0.03819661652171713
자동,0.03797431252604471
인스타,0.037008154502589895
선택,0.036787045289729016
기분,0.03659357472847574
요리,0.036538297425260526
광고,0.03579205383185505
건물,0.03540511270934851
화장실,0.0353774740577409
닭발,0.034593281888768
점심,0.03448651250022242
손님,0.03438248259986694
주소,0.034189012038613666
시작,0.033940264174145175
