,cluster,perplexity_score
0,3,-10.936582083775885
1,4,-11.121690415980918
2,5,-11.36854488749088
3,6,-11.754896008391125
4,7,-12.383811084514925
5,8,-13.25325468057948
6,9,-14.300628775600732
7,10,-15.277554696782385
