,cluster,coherence_score
0,3,-10.130891438444877
1,4,-10.83592729169956
2,5,-11.493604710635324
3,6,-12.314779198766553
4,7,-13.391041525205702
5,8,-12.896579612023286
6,9,-14.073526496352226
7,10,-13.512699098757995
