,단어,tf-idf,idf
1852,단맛,146.66694421548638,5.030649431132561
6624,우유,146.37948102387844,5.928371195803891
5128,순하다,115.71741182351512,6.128053260439103
8149,진하다,105.5717915345841,5.729860911660018
1913,달콤하다,60.25604483475495,5.732296966457899
173,감미료,49.68619259351315,6.896423862236635
6306,오늘,48.093448445225114,6.382478111134401
6581,용량,47.25974223088767,6.936269770783835
1720,늘다,46.543033539929084,6.128053260439103
8028,지금,46.20882319818993,6.6244901467529935
7956,중독,46.11817201792174,6.679549923936021
3092,매일,45.792092209178456,6.799694235778084
448,겨울,45.04094863036126,6.813980193025561
