,0,1,2,3,4
32,에르메스 운 자르뎅 수르닐 오 드 뚜왈렛,에르메스,맑은 정원의 연꽃이 생각나는 은은하고 투명한 향기,"64,000원 20.0% 할인",4.8
33,세르주루텐 라 휘드 베흘랑 오 드 퍼퓸,세르주루텐,"고혹적으로 부서지는 붉은 장미, 세르주루텐 특유의 서늘한 감성이 녹아난 베스트셀러","130,000원 36.6% 할인",4.8
34,딥디크 탐다오 오 드 뚜왈렛,딥티크,내 마음을 달래주는 가장 편한 우디 향기,"128,000원 10.5% 할인",4.9
35,딥디크 오에도 오 드 뚜왈렛 50ml,딥티크,껍질이 두꺼운 두터운 자몽과 오렌지의 쌉싸름한 상큼함,"128,000원 10.5% 할인",4.8
36,메종 마르지엘라 위스퍼 인 더 라이브러리,메종 마르지엘라,해리포터 도서관이 연상되는 웅장하고 부드러운 나무와 통카빈향기,"145,000원 17.1% 할인",4.7
37,세르주루텐 로흐플린 오 드 퍼퓸,세르주루텐,도시의 잿빛을 닮은 숨결이 인센스처럼 퍼지는 오리엔탈 - 머스크 내음,"174,500원 14.9% 할인",5.0
38,메종 마르지엘라 마차 메디테이션,메종 마르지엘라,"동양적인 무드의 말차라떼, 그 달콤함이 오렌지 플라워에 차분히 스미는 정갈함","80,900원 9.1% 할인",5.0
39,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0
40,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0
41,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5
42,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원 22.3% 할인",5.0
43,프라고나르 에뚜알 30-200ml,프라고나르,"미세먼지 없이, 날씨까지 완벽한 주말처럼 상쾌한 달콤함이 가득한 풋사과 정원의 향기","71,500원 10.6% 할인",4.9
44,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원 14.9% 할인",5.0
45,바이레도 벨벳 헤이즈 오 드 퍼퓸,바이레도,"조용한 벤치, 으깨지는 코코넛을 바라보는 순간 깊은 감회에 잠기게 만드는 향기","197,000원 17.9% 할인",5.0
46,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원 13.6% 할인",0.0
47,프로소디 런던 리솜 린든 오 드 퍼퓸 50ml,프로소디 런던,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,"134,000원 15.2% 할인",5.0
48,조말론 오렌지 블로썸 코롱,조말론,영국시골 오렌지 농장에서 이슬을 맞은채 굴러다니는 오렌지 껍질향기,"81,800원 23.6% 할인",4.8
49,조말론 인센스 앤 세드라 코롱 인텐스,조말론,"삭막한 초원에 단비가 그치고 난 뒤, 슴슴하게 올라오는 마른 풀들과 나무들의 아로마틱한 산뜻함","158,000원 24.8% 할인",4.0
50,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원 16.4% 할인",0.0
51,르라보 상탈 33 오 드 퍼퓸 50ml,르라보,짙은 고동나무와 푸릇한 파피루스가 울창하게 심어져 있는 오스트레일리아의 숲속,"220,000원 21.4% 할인",4.9
52,르라보 어나더 13 오 드 퍼퓸 50ml,르라보,바닐라와 동물적인 암브레트 씨드에서 주는 우디한 살내음,"220,000원 21.4% 할인",5.0
53,딥디크 오듀엘르 오 드 뚜왈렛 50/100ml,딥티크,따뜻한 햇살이 내려앉는 마당의 흙과 나무 그리고 바닐라가 어우러진 아늑한 향기,"128,000원 10.5% 할인",4.8
54,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원 12.1% 할인",5.0
55,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원 17.1% 할인",0.0
56,프라고나르 플러도랑지,프라고나르,"오후 6시의 석양이 오렌지 꽃에 닿았을 때, 딱 그 온기만큼 편안하게 퍼지는 자연의 향기","71,500원 10.6% 할인",5.0
57,아쿠아 디 파르마 아란치아 디 카프리 오 드 뚜왈렛,아쿠아 디 파르마,지중해 햇살에 산뜻함을 터트린 천혜향을 닮은 오렌지 비누향기,"58,000원 44.8% 할인",4.9
58,아쿠아 디 파르마 피코 디 아말피 오 드 뚜왈렛,아쿠아 디 파르마,이탈리아 포지타노의 청량함이 연상되는 깨끗하고 청정한 무화과의 아삭함,"65,000원 38.1% 할인",4.9
59,에르메스 운 자르뎅 수르뜨와 오 드 뚜왈렛,에르메스,"싱그러움과 거친 자연의 모습이 그대로 담긴, 에르메스 본사 꼭대기의 정원 향기","80,000원 3.6% 할인",4.8
60,메모 케두 오드퍼퓸 75ml,메모,노곤하고 따뜻한 들깨가루 오일의 깊고 에센셜한 향기,"263,000원 24.9% 할인",5.0
61,더 디퍼런트 컴퍼니 수블림 발키스 오 드 퍼퓸,더 디퍼런트 컴퍼니,비오는날 정원의 흙바닥에서 고고하게 있는 생장미와 블랙커런트의 향기,"168,000원 16.0% 할인",4.6
62,메모 오리엔탈 레더 오 드 퍼퓸 75ml,메모,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음","263,000원 24.9% 할인",5.0
63,불리 오 트리쁠 베르켄 오렌지 블라썸 75ml,불리 1803,"갓 따낸 오렌지 나무 잎사귀에 레몬즙을 뿌린듯, 무더운 여름날 단비 같이 싱그런 오렌지 꽃망울","170,000원 17.1% 할인",0.0
64,오리베 데저트랜드 오 드 퍼퓸 75ml,오리베,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기","128,870원 23.7% 할인",0.0
65,오리베 코트 다쥐르 오 드 퍼퓸 75ml,오리베,"청량한 레몬이 시클라멘 꽃 위에 누워 파도를 타듯, 일렁이는 햇살 속에 젖어드는 낭만의 향기","128,870원 23.7% 할인",4.5
66,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원 17.9% 할인",4.9
67,톰포드 로즈프릭 오 드 퍼퓸 50ml,톰포드,"장미의 이중성, 퇴폐미와 외로움을 그린 향기","305,000원 35.1% 할인",5.0
68,불가리 오 파퓨메 오떼블랑 오드 코롱,불가리,"고요한 새벽안개 길의 끝에서 이슬과 함께 느껴질 법한 화이트 티의 정수, 깨끗함의 정점","119,000원 14.4% 할인",4.5
69,에르메스 운 자르뎅 아프레 라 무쏭 오 드 뚜왈렛,에르메스,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원","145,000원 17.1% 할인",0.0
70,프레데릭 말 제라늄 뿌르 무슈 50ml,프레데릭말,"비가 그친 제라늄 숲 속, 낮게 깔린 안개가 연출하는 신비로움","224,500원 19.2% 할인",5.0
71,구찌 알케미스트 가든 문라이트 세레나데 오 드 퍼퓸 150ml,구찌,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기","289,000원 8.0% 할인",0.0
72,펜할리곤스 베스트셀러 디스커버리 세트,펜할리곤스,펜할리곤스 베스트 & 스테디셀러 10종으로 구성된 디스커버리 패키지,"49,000원 21.0% 할인",5.0
73,돌체앤가바나 라이트 블루 25/50/100ml,돌체앤가바나,"청량한 하늘같은 비누, 뽀송한 향기","52,000원 21.2% 할인",4.8
74,오리베 프래그런스 디스커버리 세트,오리베,"청량하게 부서지는 넓은 확산력, 오리베를 경험하기 좋은 3종 디스커버리 세트","29,700원 10.0% 할인",5.0
75,샤보 루비에르 드 베니스 오 드 퍼퓸 30ml,샤보,톤 다운된 메이크업이 잘 어울리는 시크하고 달콤한 우디향취,"117,500원 24.2% 할인",0.0
76,샤보 빈티지 오 드 퍼퓸 30ml,샤보,"따뜻한 아메리카노와 바닐라 과자, 그리고 튜베로즈 식빵","117,500원 24.2% 할인",5.0
77,샤보 레 에 쇼콜라 오 드 뚜왈렛 30ml,샤보,"이제껏 경험한적 없는 완벽한 달콤함, 초콜릿과 바닐라의 완벽한 하모니","101,300원 19.0% 할인",4.7
78,샤보 레 꽁 상뜨레 오 드 뚜왈렛 30ml,샤보,"우유 향수, 완전 따뜻하고 달콤한 연유속에 캬라멜 한조각이 풍덩","101,300원 19.0% 할인",4.8
79,구찌 알케미스트 가든 윈터스 스프링 오 드 퍼퓸 100ml,구찌,미모사와 아카시아 꽃을 가볍게 띄워놓은 미온수로 부드럽게 목욕한 후 살에 남은 잔향,"395,000원 12.2% 할인",0.0
80,구찌 알케미스트 가든 어 윈터 멜로디 사이프러스 센티드 워터 150ml,구찌,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기","289,000원 8.0% 할인",5.0
81,마크제이콥스 스플래쉬 레인 100ml,마크제이콥스,"소나기가 한차례 쏟아진 정원, 바닥에서부터 피어오르는 꽃들의 향기","62,500원 21.9% 할인",4.8
82,클린 리저브 웜코튼 오 드 퍼퓸 100ml,클린 리저브,"기어들어가고 싶게 촉촉한, 빨래 향기가 그대로 밴 이불","101,150원 15.0% 할인",4.9
83,아틀리에 코롱 클레망틴 캘리포니아 30ml,아틀리에 코롱,"소다 밀키스를 마시는 상큼함, 아틀리에의 베스트셀러","72,000원 30.1% 할인",4.8
84,프라고나르 세드르 오 드 뚜왈렛 100ml,프라고나르,"낮엔 풀꽃들이 보이고, 저녁엔 얼음 결정이 보이는 시린 청량감","71,500원 10.6% 할인",4.8
85,프로소디 런던 오션 커모션 오 드 코롱 30ml,프로소디 런던,"바다 한 가운데 누워, 등에서 느껴지는 시원함과 철썩대는 파도소리가 자장가처럼 편안해지는 순간","70,500원 15.1% 할인",4.8
86,메종마르지엘라 언더 더 레몬트리,메종 마르지엘라,레몬향 진토닉으로 천천히 취해가는 것 같은 노곤한 향기,"80,900원 9.1% 할인",5.0
87,에트로 머스크 오 드 퍼퓸 100ml,에트로,"어느 여름, 버베나 나무 아래에서 선선하게 불어오는 데일리 - 머스크 향기","165,000원 20.7% 할인",4.7
88,에트로 라자스탄 오 드 퍼퓸 100ml,에트로,"자유를 찾아 유랑하는 집시,보헤미안 스타일의 묵직한 앰버와 미모사 그리고 머스크의 폭닥한 향기","135,200원 20.0% 할인",0.0
89,에트로 우다이푸르 오 드 퍼퓸 100ml,에트로,"레몬을 적신 고운 점토 비누로 샤워를 마친 후, 수건을 덮은 부드러움","166,000원 7.8% 할인",5.0
90,에트로 비아베리 오 드 뚜왈렛 100ml,에트로,"에트로 베스트셀러, 씻고 나온 라벤더 비누향이 설렘 가득히 사이프러스 숲을 감싸안는 순간","118,000원 18.6% 할인",4.8
91,크리드 로얄워터 오 드 퍼퓸,크리드,"레몬과 바질의 깔끔함이 늘 잘 먹히는, 누구나 좋아할 법한 군더더기 없는 남성미","305,000원 12.9% 할인",4.9
92,에르메스 오 도랑쥬 베르트 오 드 코롱,에르메스,"나른함 가득한 늦은 오후, 커튼 사이로 들어오는 햇살을 타고 흐르는 오렌지와 레몬의 상큼함","105,000원 35.2% 할인",0.0
93,에르메스 오 드 시트론 느와 오 드 코롱,에르메스,"에르메스식 남성의 관능미, 아슬아슬한 경게 사이를 넘나드는 시트러스 - 스모키의 정석","105,000원 35.2% 할인",5.0
94,몽클레르 뿌르 팜므 오 드 퍼퓸,몽클레르,"포근함이 느껴지는 함박눈 위로, 달콤한 바날리색 연유 라떼가 가볍게 녹아들며 남기는 자취","110,000원 8.3% 할인",5.0
95,나소마토 실버 머스크 엑스트레 퍼퓸 30ml,나소마토,"하얀 눈의 결정체가 손바닥 위에서 녹는 듯, 극도로 투명한 목화꽃의 깨끗함","245,500원 9.1% 할인",0.0
