"날짜","향수"
"2018-01-01",40
"2018-01-02",42
"2018-01-03",40
"2018-01-04",37
"2018-01-05",36
"2018-01-06",35
"2018-01-07",43
"2018-01-08",48
"2018-01-09",48
"2018-01-10",41
"2018-01-11",44
"2018-01-12",32
"2018-01-13",36
"2018-01-14",43
"2018-01-15",51
"2018-01-16",51
"2018-01-17",43
"2018-01-18",43
"2018-01-19",38
"2018-01-20",40
"2018-01-21",50
"2018-01-22",44
"2018-01-23",47
"2018-01-24",44
"2018-01-25",44
"2018-01-26",42
"2018-01-27",38
"2018-01-28",47
"2018-01-29",47
"2018-01-30",50
"2018-01-31",54
"2018-02-01",57
"2018-02-02",46
"2018-02-03",49
"2018-02-04",51
"2018-02-05",58
"2018-02-06",60
"2018-02-07",61
"2018-02-08",62
"2018-02-09",43
"2018-02-10",41
"2018-02-11",48
"2018-02-12",44
"2018-02-13",41
"2018-02-14",43
"2018-02-15",39
"2018-02-16",49
"2018-02-17",44
"2018-02-18",63
"2018-02-19",73
"2018-02-20",55
"2018-02-21",48
"2018-02-22",67
"2018-02-23",50
"2018-02-24",53
"2018-02-25",50
"2018-02-26",60
"2018-02-27",49
"2018-02-28",53
"2018-03-01",54
"2018-03-02",52
"2018-03-03",51
"2018-03-04",66
"2018-03-05",51
"2018-03-06",55
"2018-03-07",56
"2018-03-08",57
"2018-03-09",51
"2018-03-10",42
"2018-03-11",53
"2018-03-12",44
"2018-03-13",45
"2018-03-14",47
"2018-03-15",50
"2018-03-16",39
"2018-03-17",51
"2018-03-18",51
"2018-03-19",31
"2018-03-20",36
"2018-03-21",46
"2018-03-22",44
"2018-03-23",37
"2018-03-24",32
"2018-03-25",46
"2018-03-26",35
"2018-03-27",38
"2018-03-28",42
"2018-03-29",38
"2018-03-30",38
"2018-03-31",37
"2018-04-01",59
"2018-04-02",45
"2018-04-03",39
"2018-04-04",47
"2018-04-05",44
"2018-04-06",43
"2018-04-07",44
"2018-04-08",43
"2018-04-09",45
"2018-04-10",48
"2018-04-11",43
"2018-04-12",45
"2018-04-13",41
"2018-04-14",39
"2018-04-15",51
"2018-04-16",43
"2018-04-17",43
"2018-04-18",40
"2018-04-19",44
"2018-04-20",41
"2018-04-21",37
"2018-04-22",34
"2018-04-23",40
"2018-04-24",39
"2018-04-25",41
"2018-04-26",36
"2018-04-27",32
"2018-04-28",32
"2018-04-29",34
"2018-04-30",41
"2018-05-01",56
"2018-05-02",60
"2018-05-03",38
"2018-05-04",38
"2018-05-05",39
"2018-05-06",50
"2018-05-07",49
"2018-05-08",54
"2018-05-09",54
"2018-05-10",59
"2018-05-11",38
"2018-05-12",44
"2018-05-13",46
"2018-05-14",52
"2018-05-15",55
"2018-05-16",54
"2018-05-17",44
"2018-05-18",36
"2018-05-19",47
"2018-05-20",41
"2018-05-21",68
"2018-05-22",58
"2018-05-23",40
"2018-05-24",40
"2018-05-25",43
"2018-05-26",41
"2018-05-27",45
"2018-05-28",41
"2018-05-29",53
"2018-05-30",49
"2018-05-31",42
"2018-06-01",40
"2018-06-02",43
"2018-06-03",36
"2018-06-04",43
"2018-06-05",38
"2018-06-06",37
"2018-06-07",33
"2018-06-08",39
"2018-06-09",38
"2018-06-10",52
"2018-06-11",42
"2018-06-12",31
"2018-06-13",37
"2018-06-14",32
"2018-06-15",39
"2018-06-16",34
"2018-06-17",45
"2018-06-18",38
"2018-06-19",37
"2018-06-20",49
"2018-06-21",30
"2018-06-22",39
"2018-06-23",32
"2018-06-24",29
"2018-06-25",27
"2018-06-26",32
"2018-06-27",41
"2018-06-28",35
"2018-06-29",31
"2018-06-30",30
"2018-07-01",43
"2018-07-02",58
"2018-07-03",42
"2018-07-04",33
"2018-07-05",36
"2018-07-06",33
"2018-07-07",40
"2018-07-08",34
"2018-07-09",46
"2018-07-10",53
"2018-07-11",47
"2018-07-12",35
"2018-07-13",32
"2018-07-14",36
"2018-07-15",44
"2018-07-16",34
"2018-07-17",32
"2018-07-18",43
"2018-07-19",37
"2018-07-20",33
"2018-07-21",31
"2018-07-22",31
"2018-07-23",43
"2018-07-24",42
"2018-07-25",35
"2018-07-26",40
"2018-07-27",24
"2018-07-28",39
"2018-07-29",47
"2018-07-30",40
"2018-07-31",42
"2018-08-01",45
"2018-08-02",40
"2018-08-03",37
"2018-08-04",41
"2018-08-05",43
"2018-08-06",47
"2018-08-07",55
"2018-08-08",54
"2018-08-09",54
"2018-08-10",57
"2018-08-11",41
"2018-08-12",57
"2018-08-13",53
"2018-08-14",56
"2018-08-15",57
"2018-08-16",60
"2018-08-17",55
"2018-08-18",66
"2018-08-19",64
"2018-08-20",56
"2018-08-21",60
"2018-08-22",55
"2018-08-23",57
"2018-08-24",68
"2018-08-25",59
"2018-08-26",73
"2018-08-27",77
"2018-08-28",69
"2018-08-29",57
"2018-08-30",63
"2018-08-31",65
"2018-09-01",76
"2018-09-02",100
"2018-09-03",79
"2018-09-04",78
"2018-09-05",74
"2018-09-06",87
"2018-09-07",66
"2018-09-08",66
"2018-09-09",74
"2018-09-10",64
"2018-09-11",63
"2018-09-12",68
"2018-09-13",80
"2018-09-14",55
"2018-09-15",67
"2018-09-16",68
"2018-09-17",94
"2018-09-18",77
"2018-09-19",61
"2018-09-20",64
"2018-09-21",49
"2018-09-22",48
"2018-09-23",42
"2018-09-24",50
"2018-09-25",67
"2018-09-26",73
"2018-09-27",64
"2018-09-28",81
"2018-09-29",56
"2018-09-30",65
"2018-10-01",72
"2018-10-02",54
"2018-10-03",66
"2018-10-04",56
"2018-10-05",49
"2018-10-06",52
"2018-10-07",72
"2018-10-08",64
"2018-10-09",67
"2018-10-10",70
"2018-10-11",62
"2018-10-12",57
"2018-10-13",46
"2018-10-14",47
"2018-10-15",67
"2018-10-16",57
"2018-10-17",48
"2018-10-18",47
"2018-10-19",41
"2018-10-20",51
"2018-10-21",56
"2018-10-22",64
"2018-10-23",64
"2018-10-24",53
"2018-10-25",54
"2018-10-26",57
"2018-10-27",41
"2018-10-28",57
"2018-10-29",61
"2018-10-30",57
"2018-10-31",52
"2018-11-01",62
"2018-11-02",44
"2018-11-03",56
"2018-11-04",62
"2018-11-05",69
"2018-11-06",64
"2018-11-07",66
"2018-11-08",64
"2018-11-09",55
"2018-11-10",63
"2018-11-11",74
"2018-11-12",64
"2018-11-13",79
"2018-11-14",59
"2018-11-15",62
"2018-11-16",47
"2018-11-17",46
"2018-11-18",60
"2018-11-19",70
"2018-11-20",56
"2018-11-21",50
"2018-11-22",50
"2018-11-23",42
"2018-11-24",49
"2018-11-25",51
"2018-11-26",51
"2018-11-27",52
"2018-11-28",48
"2018-11-29",45
"2018-11-30",50
"2018-12-01",47
"2018-12-02",67
"2018-12-03",63
"2018-12-04",65
"2018-12-05",64
"2018-12-06",63
"2018-12-07",56
"2018-12-08",50
"2018-12-09",69
"2018-12-10",59
"2018-12-11",63
"2018-12-12",53
"2018-12-13",55
"2018-12-14",49
"2018-12-15",55
"2018-12-16",60
"2018-12-17",67
"2018-12-18",78
"2018-12-19",61
"2018-12-20",59
"2018-12-21",61
"2018-12-22",65
"2018-12-23",62
"2018-12-24",58
"2018-12-25",57
"2018-12-26",70
"2018-12-27",57
"2018-12-28",56
"2018-12-29",52
"2018-12-30",54
"2018-12-31",55
"2019-01-01",58
