네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수
조회기간 : 2021.09.27. ~ 2022.09.27. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","향수"
"2022-08-02",62
"2022-08-03",64
"2022-08-04",60
"2022-08-05",56
"2022-08-06",58
"2022-08-07",64
"2022-08-08",63
"2022-08-09",60
"2022-08-10",64
"2022-08-11",62
"2022-08-12",57
"2022-08-13",56
"2022-08-14",60
"2022-08-15",68
"2022-08-16",68
"2022-08-17",66
"2022-08-18",62
"2022-08-19",57
"2022-08-20",61
"2022-08-21",64
"2022-08-22",62
"2022-08-23",63
"2022-08-24",62
"2022-08-25",65
"2022-08-26",59
"2022-08-27",60
"2022-08-28",65
"2022-08-29",64
"2022-08-30",65
"2022-08-31",64
"2022-09-01",70
"2022-09-02",63
"2022-09-03",64
"2022-09-04",73
"2022-09-05",70
"2022-09-06",66
"2022-09-07",62
"2022-09-08",53
"2022-09-09",50
"2022-09-10",51
"2022-09-11",61
"2022-09-12",72
"2022-09-13",71
"2022-09-14",67
"2022-09-15",64
"2022-09-16",57
"2022-09-17",62
"2022-09-18",69
"2022-09-19",66
"2022-09-20",65
"2022-09-21",63
"2022-09-22",60
"2022-09-23",57
"2022-09-24",57
"2022-09-25",65
"2022-09-26",64
"2022-09-27",60
