,,이름,브랜드,향 설명,가격,평점
Best,17,세르주루텐 라 를르지외즈 오 드 퍼퓸,세르주루텐,"검은 고양이가 하얀 자스민 꽃잎에 쉬다 간 자리, 진하게 남는 다크 머스크의 긴 여운","174,500원",5.0
Best,18,세르주루텐 다튜라느와 오 드 퍼퓸,세르주루텐,"깊은 상처까지 감싸 안아줄 것 같은, 헬리오트로프와 튜베로즈의 안락한 편안함","174,500원",5.0
Best,19,아이젠버그 오프레쉬 옴므 30/50/100ml,아이젠버그,"자신만의 생활 루틴을 가진 부지런한 남자, 그 아침을 상쾌하게 여는 라벤더-베티버 향기","65,200원",4.7
Best,20,바이레도 우드이모텔 오 드 퍼퓸,바이레도,"챗베이커의 음악, 로즈우드 테이블과 위스키, 타바코 담배가 모여 한 편의 재즈를 연주하는 감각적인 향기","197,000원",4.7
Best,21,킬리안 불레이 부 쿠셔 아베끄 모아 (나랑잘래) 오 드 퍼퓸 50ml,킬리안,"침대 위의 연인, 서로를 포근하게 끌어안은 온기만큼 몽글하게 퍼지는 화이트 플로럴-머스크","265,000원",5.0
Best,22,아이젠버그 오프레쉬 우먼 30/50/100ml,아이젠버그,"라벤더의 선선함을 따라 이끌려간 곳, 아로마틱한 여운이 길게 남는 향기","65,200원",4.9
Best,23,메종 마르지엘라 위스퍼 인 더 라이브러리,메종 마르지엘라,해리포터 도서관이 연상되는 웅장하고 부드러운 나무와 통카빈향기,"145,000원",4.7
Best,24,세르주루텐 튜베로즈 크리미넬 오 드 퍼퓸,세르주루텐,"달빛처럼 유려하게 흐르는 곡선, 튜베로즈의 본질에 가장 가깝게 마주한 순연의 향기","395,000원",0.0
Best,25,입생로랑 리브르 오 드 퍼퓸,입생로랑,"따뜻한 라벤더의 포근함 속, 힘있게 남는 오렌지블라썸 커리어우먼","82,000원",4.8
Best,26,구찌 블룸 프로푸모 디 피오리 오 드 퍼퓸 50ml,구찌,구찌의 아이코닉한 블룸 감성을 더 잔잔하게 풀어낸 튜베로즈 향기,"107,000원",4.8
Best,27,세르주루텐 페미니떼드부아 오 드 퍼퓸,세르주루텐,"세르주루텐의 첫 작품, 오리엔탈 계열의 삼나무와 클로브가 묘사하는 관능적인 여성성의 끝","174,500원",4.3
Best,28,킬리안 문라이트 인 헤븐 오 드 퍼퓸 50ml,킬리안,"파랗게 물든 저녁 하늘, 그대와 맞잡은 두 손이 저릿한 설렘을 일으키는 트로피컬 향기","285,000원",4.9
Best,29,딥디크 탐다오 오 드 뚜왈렛,딥티크,내 마음을 달래주는 가장 편한 우디 향기,"128,000원",4.9
Best,30,세르주루텐 플뢰르 도랑제 오 드 퍼퓸,세르주루텐,무르익은 튜베로즈 꽃망울이 터지며 달콤한 허니 디저트 위로 사뿐히 내려앉는 섬세함,"174,500원",5.0
Best,31,조말론 프랑지파니 플라워 코롱 30ml,조말론,봄바람을 탄 프랑지파니 꽃잎이 천천히 유영하듯 흐르는 하얀 아름다움,"87,800원",4.8
Best,32,바이레도 어코드 우드 오 드 퍼퓸,바이레도,"느와르 식의 거칠고 섹시한, 스모키 오우드 향수의 끝판왕","197,000원",5.0
Best,33,바이레도 선데이 코롱 오 드 퍼퓸,바이레도,"센트럴파크 화단에 핀 제라늄과 베티버, 그 사이를 톡톡히 적시는 푸른 봄비의 베르가못","197,000원",5.0
Best,34,불리 오 트리플 다마스크 로즈 75ml,불리 1803,"장미 본연의 분위기, 온전한 아름다움으로 모두를 납득시키는 유려함","170,000원",4.9
Best,35,세르주루텐 파이브 어 클락 오 진저 오 드 퍼퓸,세르주루텐,"영국 신사와 갖는 티타임, 그의 매너를 닮은 산뜻 달콤한 우디- 진저 티 한잔","174,500원",5.0
Best,36,아이젠버그 디아볼리끄 옴므 30/50/100ml,아이젠버그,"나쁜 게 확실한데, 도저히 미워할래야 미워할 수 없는 매력","65,200원",4.8
Best,37,프레데릭 말 윈로즈 30ml,프레데릭말,"야생화 기운을 받은 로즈, 그 치명적인 매력의 생장미 향기","195,000원",4.7
Best,38,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원",5.0
Best,39,바이레도 1996 오 드 퍼퓸,바이레도,"인센스 연기가 자욱한 작업실 안, 바이올렛의 나른함을 풍기는 신비로운 예술가의 분위기를 담아낸 향기","193,500원",5.0
