품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
주화(금화 및 법화 제외),수출액[천달러],천달러,167,12,6,17,6,8,4,4,20,20,2,4,1,2,9,6,18,8,4,9,11,7,6,2,3,1,16,12,8,11
주화(금화 및 법화 제외),수입액[천달러],천달러,62,78,59,121,71,119,57,48,73,145,95,75,106,52,64,72,52,57,116,99,49,43,68,57,42,232,87,30,19,18
주화(금화 및 법화제외),수출액[천달러],천달러,167,12,6,17,6,8,4,4,20,20,2,4,1,2,9,6,18,8,4,9,11,7,6,2,3,1,16,12,8,11
주화(금화 및 법화제외),수입액[천달러],천달러,62,78,59,121,71,119,57,48,73,145,95,75,106,52,64,72,52,57,116,99,49,43,68,57,42,232,87,30,19,18
금(금광 및 그정광 제외),수출액[천달러],천달러,117818,295120,211850,241256,222597,92777,42927,127020,164306,79235,94298,78375,58186,45615,43149,39882,78856,82431,46488,94077,88904,68163,62209,41760,69995,116269,285694,152646,91583,69096
금(금광 및 그정광 제외),수입액[천달러],천달러,76520,73641,75669,49506,42310,56913,96692,114849,83717,99549,91085,137552,213070,219985,333852,319366,224367,187898,196640,161494,95399,198353,171269,361391,184790,127557,80664,91636,101404,130589
금(금광 및 그정광제외) ; 화폐용이 아닌것,수출액[천달러],천달러,117818,295120,211850,241256,222597,92777,42927,127020,164306,79235,94298,78375,58186,45615,43149,39882,78856,82431,46488,94077,88904,68163,62209,41760,69995,116269,285694,152646,91583,69096
금(금광 및 그정광제외) ; 화폐용이 아닌것,수입액[천달러],천달러,76520,73641,75669,49506,42310,56913,96692,114849,83717,99549,91085,137552,213070,219985,333852,319366,224367,187898,196640,161494,95399,198353,171269,361391,184790,127557,80664,91636,101404,130589
달리 분류되지 않은 상품및 취급물,수출액[천달러],천달러,9351,10387,5151,6252,3573,13710,9452,9007,10128,11028,24284,3803,4345,6190,5100,3361,8126,9779,4845,3729,3731,3923,5439,8192,7701622,7373168,8984672,7570202,7666536,7606758
달리 분류되지 않은 상품및 취급물,수입액[천달러],천달러,2434,1602,3535,2667,6088,4405,4816,6510,3512,2826,2140,1451,2515,1574,1714,3427,1874,1627,1449,1280,1306,1281,1542,1198,4956065,4748962,5817626,5470622,5716186,5783684
분류불능의 소액물품,수출액[천달러],천달러,3223,6147,1141,4504,2360,11463,6308,6028,7434,8682,21418,43,964,2806,930,115,5715,6180,890,563,1531,1281,2633,3826,2591,2007,2584,3320,2812,2443
분류불능의 소액물품,수입액[천달러],천달러,2434,1602,3535,2667,6088,4405,4816,6510,3512,2826,2140,1451,2515,1574,1714,3427,1874,1627,1449,1280,1306,1281,1542,1198,1104,1024,1067,358,1506,354
"화폐용의금,금화및경화",수출액[천달러],천달러,6128,4240,4011,1749,1212,2246,3144,2979,2694,2346,2867,3760,3381,3385,4170,3247,2411,3599,3955,3167,2199,2642,2807,4366,7699031,7371161,8982088,7566882,7663724,7604315
"화폐용의금,금화및경화",수입액[천달러],천달러,,,,,,,,,,,,,,,,,,,,,,,,,4954961,4747937,5816558,5470264,5714679,5783330
