품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
"여행용,핸드백 및 유사용기",수출액[천달러],천달러,29925,28155,21865,10948,16733,23113,25834,19203,23634,28462,33935,29912,28984,18311,26259,25884,22627,26901,31163,33609,31642,39561,27581,31071,23195,20629,24012,23117,25193,18453
"여행용,핸드백 및 유사용기",수입액[천달러],천달러,266566,204756,208054,180845,208285,247933,285304,255208,244969,273901,293065,283222,265801,265005,324848,308764,316861,314505,299535,285612,268056,291607,335805,301577,316858,293900,316961,305878,324727,320980
"트렁크,슈트케이스,화장품케이스등",수출액[천달러],천달러,29925,28155,21865,10948,16733,23113,25834,19203,23634,28462,33935,29912,28984,18311,26259,25884,22627,26901,31163,33609,31642,39561,27581,31071,23195,20629,24012,23117,25193,18453
"트렁크,슈트케이스,화장품케이스등",수입액[천달러],천달러,266566,204756,208054,180845,208285,247933,285304,255208,244969,273901,293065,283222,265801,265005,324848,308764,316861,314505,299535,285612,268056,291607,335805,301577,316858,293900,316961,305878,324727,320980
의복제품 및 의복부속품,수출액[천달러],천달러,127819,147196,138308,151108,153384,162432,178363,130269,165236,163354,198977,203174,152856,128177,174091,184309,182844,185297,186915,166106,189801,209971,223389,224054,164847,137037,179409,176689,174402,177148
의복제품 및 의복부속품,수입액[천달러],천달러,931657,605694,839273,664869,514412,624153,847353,1031099,1162104,1023023,724517,764425,838941,805143,966131,889484,687911,723251,881545,1087091,1253954,1234305,1128702,919124,974806,809227,1027342,931896,800710,738245
남자 또는 소년용의 코트.자켓,수출액[천달러],천달러,5622,6725,4880,4113,3794,6465,7606,5995,7717,9276,11452,15981,9294,6876,9355,6267,7140,7195,6884,8809,12052,15448,12630,15745,7001,5419,6783,4957,4818,4180
남자 또는 소년용의 코트.자켓,수입액[천달러],천달러,179080,129140,156932,109274,71369,107882,168691,217384,255925,214890,112460,123857,147682,154569,170203,134391,88188,98818,157563,216295,255103,269558,219832,147016,124626,128387,148558,129188,91003,83392
여자용 코트.자켓.슈트.브레이저,수출액[천달러],천달러,16671,20508,19480,16359,15506,19757,17815,21002,25440,25788,27360,28900,26336,21328,29299,26809,24677,23693,24772,27303,36093,30093,32363,39869,25108,20962,31510,18117,17007,22695
여자용 코트.자켓.슈트.브레이저,수입액[천달러],천달러,206260,117612,179387,177327,132012,150837,191457,249405,309518,288327,175601,178780,174454,151151,218493,221607,169318,167516,196635,254186,318800,330762,291030,209131,166865,128269,213022,221629,190230,145349
