date,star,text,name
2022-08-25,5,한옥마을갈때 마다 맛있게 먹었는데 택배로 받아서 집에서 먹으니 더 맛나네요,천년주가 전주모주
2022-09-02,4,맛이 좋고 도수가 낮아서 좋습니다,천년주가 전주모주
2022-07-26,5,너무 맛있어요 ㅜㅜ 흑흑 매일 한잔씩 마시는데 참 좋습니다,천년주가 전주모주
2022-08-11,5,한방의 냄새가 진하고 알콜도없고 일반막걸리대신 맛있게 잘먹고있습니다,천년주가 전주모주
2022-07-30,5,술 못마시는 저에게딱입니다,천년주가 전주모주
2022-07-23,5,빠르고 좋아요 조항요,천년주가 전주모주
2022-06-26,5,맛있어요 모주모주ㅠ,천년주가 전주모주
2022-07-01,5,유통기간 넉넉하고맛있어요다음에 또 주문하겠습니다,천년주가 전주모주
2022-07-19,5,완전 좋아요,천년주가 전주모주
2022-06-27,5,맛나게 먹고나서 또 시켜네요술맛최고,천년주가 전주모주
2022-06-29,5,전주 여행 중 맛보고 구매했습니다너무 맛있어요,천년주가 전주모주
2022-06-09,5,맛있겠죠 저녁에는 모주 한잔 기대돼요,천년주가 전주모주
2022-06-21,5,조아요 조아요 조아요,천년주가 전주모주
2022-05-30,5,달달 하니 맛있습니다 배송빠릅니다,천년주가 전주모주
2022-06-18,5,모주 정말 맛난것 같아요강추,천년주가 전주모주
2022-05-12,3,전주에서 마시던 모주가 너무 생각나 구매했어요그런데 좀 더 맛이 묽은 듯해요 모주 느낌은 나지만 좀 실망입니다,천년주가 전주모주
2022-06-05,4,맛잇내요 모주 ㅋ,천년주가 전주모주
2022-04-26,5,배송 빠르네요 맛은 그냥저냥  술인줄 알았는데 발효 음료네요 참고들 하셔요,천년주가 전주모주
2022-05-26,5,조아요조아요조아요,천년주가 전주모주
2022-05-14,5,술인지 전혀 모르겠어요맛은 달달한게 맛있습니다,천년주가 전주모주
2022-04-28,4,맛있어요 근데 알던 맛이랑 조금 다르네요,천년주가 전주모주
2022-04-20,5,맛있어요,천년주가 전주모주
2022-04-27,5,집에서 간단히 즐기기에 너무 좋네요 맛있어요,천년주가 전주모주
2022-03-31,5,전주 놀러가서 3가지 먹어보고 애모주가 제일 맛있길래 택배주문했어요,천년주가 전주모주
2022-03-30,5,배송빠르고 맛이 좋아요,천년주가 전주모주
2022-04-04,5,맛있게 잘먹었습니다,천년주가 전주모주
2022-03-30,5,소주나 진에 넣어 먹으니 맛있었어요수정과 좋아하심 후회 안하실듯,천년주가 전주모주
2022-03-25,5,너무 맛있어요 만족합니다 다음에도 또 구매 할듯 해요,천년주가 전주모주
2022-02-24,5,워낙에 모주를 좋아합니다때론 탄산수도 우유도 요거트도 타먹습니다색다른맛 좋고 그냥즐겨도 좋아요,천년주가 전주모주
2022-03-24,5,너무맛나요 추천입니다,천년주가 전주모주
2022-02-08,4,먹어보고 맛있어서 선물했더니  넘 좋아했네요  자주 주문해 먹을려고요  건강술 이에요,천년주가 전주모주
2022-03-08,3,맛있어요부담없이 먹기 좋아요,천년주가 전주모주
2022-02-12,5,항상 즐겨 마시는 모주 예요맛있어요,천년주가 전주모주
2022-01-30,5,배송은 느렸고 상품은 만족합니다제 입에는 한옥마울 몾ㄷ보다 이게 더 맞네요,천년주가 전주모주
2022-02-03,4,맛있어요  전주모주중에 젤 잘 만들어진것 같아요,천년주가 전주모주
2022-02-18,5,모든게 만족합니다술이 아닌음료 아주좋아요,천년주가 전주모주
2022-02-27,5,역시   맛나고  좋으네요,천년주가 전주모주
2022-02-23,5,배송도 빠르고 신선해요,천년주가 전주모주
2022-01-31,5,배송이 빠르고 맛이 좋습니다,천년주가 전주모주
2022-01-20,5,맛있습니다 더이상 설명 필요합니까ㅎ,천년주가 전주모주
2022-01-27,5,아코올 도수가 매우 낮지만 건강해지는 느낌 입니다,천년주가 전주모주
2022-01-12,5,멸균주입니다 근데 짙은데 뭔가 좀 애매함ㅋㅋ,천년주가 전주모주
2022-01-20,3,전주 모주 계피향이 좋아서  겨울골프에 데워가서 먹으려규 박스 구매했습니다,천년주가 전주모주
2022-01-30,5,음료처럼 ㅡ맛있네요,천년주가 전주모주
2022-01-17,5,유통기한도 길고 음료처럼 먹기 좋아요,천년주가 전주모주
2021-12-23,5,맛있는 모주를 저렴하게 잘 샀어요,천년주가 전주모주
2021-12-31,5,너무 달아서 좀 덜달게 만들수 있을까요 단맛 쎈거 빼고는 배송도 빠르고 맛있습니당,천년주가 전주모주
2021-12-28,5,모주 맛있어요 가격도 만족스럽고 배송도 마음에 듭니다 대박나세요,천년주가 전주모주
2022-01-03,5,갑자기 모주 맛이 생각나서 주문 했어요,천년주가 전주모주
2021-12-08,5,맛있네요 한약맛음료같아요,천년주가 전주모주
2021-12-25,5,정말 좋아요배송빠르고,천년주가 전주모주
2021-12-26,3,시원하게 먹어야 그나마 신맛이 덜느껴짐,천년주가 전주모주
2021-12-02,5,두번째주문이에요 마음에들어요 ㅎ,천년주가 전주모주
